time,dangjin_floating,dangjin_warehouse,dangjin,ulsan
2015-01-04 04:00:00,,0,0,
2015-01-04 05:00:00,,0,0,
2015-01-04 06:00:00,,0,0,
2015-01-04 07:00:00,,0,0,
2015-01-04 08:00:00,,0,0,
2015-01-04 09:00:00,,11,5,
2015-01-04 10:00:00,,63,81,
2015-01-04 11:00:00,,237,293,
2015-01-04 12:00:00,,268,296,
2015-01-04 13:00:00,,209,280,
2015-01-04 14:00:00,,360,421,
2015-01-04 15:00:00,,285,354,
2015-01-04 16:00:00,,157,193,
2015-01-04 17:00:00,,52,41,
2015-01-04 18:00:00,,1,0,
2015-01-04 19:00:00,,0,0,
2015-01-04 20:00:00,,0,0,
2015-01-04 21:00:00,,0,0,
2015-01-04 22:00:00,,0,0,
2015-01-04 23:00:00,,0,0,
2015-01-05 00:00:00,,0,0,
2015-01-05 01:00:00,,0,0,
2015-01-05 02:00:00,,0,0,
2015-01-05 03:00:00,,0,0,
2015-01-05 04:00:00,,0,0,
2015-01-05 05:00:00,,0,0,
2015-01-05 06:00:00,,0,0,
2015-01-05 07:00:00,,0,0,
2015-01-05 08:00:00,,0,0,
2015-01-05 09:00:00,,14,20,
2015-01-05 10:00:00,,105,145,
2015-01-05 11:00:00,,219,264,
2015-01-05 12:00:00,,229,258,
2015-01-05 13:00:00,,203,229,
2015-01-05 14:00:00,,230,257,
2015-01-05 15:00:00,,161,188,
2015-01-05 16:00:00,,116,133,
2015-01-05 17:00:00,,13,8,
2015-01-05 18:00:00,,0,0,
2015-01-05 19:00:00,,0,0,
2015-01-05 20:00:00,,0,0,
2015-01-05 21:00:00,,0,0,
2015-01-05 22:00:00,,0,0,
2015-01-05 23:00:00,,0,0,
2015-01-06 00:00:00,,0,0,
2015-01-06 01:00:00,,0,0,
2015-01-06 02:00:00,,0,0,
2015-01-06 03:00:00,,0,0,
2015-01-06 04:00:00,,0,0,
2015-01-06 05:00:00,,0,0,
2015-01-06 06:00:00,,0,0,
2015-01-06 07:00:00,,0,0,
2015-01-06 08:00:00,,0,0,
2015-01-06 09:00:00,,34,60,
2015-01-06 10:00:00,,163,253,
2015-01-06 11:00:00,,333,404,
2015-01-06 12:00:00,,447,523,
2015-01-06 13:00:00,,381,590,
2015-01-06 14:00:00,,459,609,
2015-01-06 15:00:00,,439,564,
2015-01-06 16:00:00,,297,365,
2015-01-06 17:00:00,,122,64,
2015-01-06 18:00:00,,3,1,
2015-01-06 19:00:00,,0,0,
2015-01-06 20:00:00,,0,0,
2015-01-06 21:00:00,,0,0,
2015-01-06 22:00:00,,0,0,
2015-01-06 23:00:00,,0,0,
2015-01-07 00:00:00,,0,0,
2015-01-07 01:00:00,,0,0,
2015-01-07 02:00:00,,0,0,
2015-01-07 03:00:00,,0,0,
2015-01-07 04:00:00,,0,0,
2015-01-07 05:00:00,,0,0,
2015-01-07 06:00:00,,0,0,
2015-01-07 07:00:00,,0,0,
2015-01-07 08:00:00,,0,0,
2015-01-07 09:00:00,,33,67,
2015-01-07 10:00:00,,163,261,
2015-01-07 11:00:00,,321,413,
2015-01-07 12:00:00,,430,517,
2015-01-07 13:00:00,,479,580,
2015-01-07 14:00:00,,487,586,
2015-01-07 15:00:00,,427,539,
2015-01-07 16:00:00,,269,348,
2015-01-07 17:00:00,,108,73,
2015-01-07 18:00:00,,5,5,
2015-01-07 19:00:00,,0,0,
2015-01-07 20:00:00,,0,0,
2015-01-07 21:00:00,,0,0,
2015-01-07 22:00:00,,0,0,
2015-01-07 23:00:00,,0,0,
2015-01-08 00:00:00,,0,0,
2015-01-08 01:00:00,,0,0,
2015-01-08 02:00:00,,0,0,
2015-01-08 03:00:00,,0,0,
2015-01-08 04:00:00,,0,0,
2015-01-08 05:00:00,,0,0,
2015-01-08 06:00:00,,0,0,
2015-01-08 07:00:00,,0,0,
2015-01-08 08:00:00,,0,0,
2015-01-08 09:00:00,,42,62,
2015-01-08 10:00:00,,136,186,
2015-01-08 11:00:00,,308,398,
2015-01-08 12:00:00,,436,503,
2015-01-08 13:00:00,,479,543,
2015-01-08 14:00:00,,505,569,
2015-01-08 15:00:00,,439,571,
2015-01-08 16:00:00,,286,406,
2015-01-08 17:00:00,,125,76,
2015-01-08 18:00:00,,7,2,
2015-01-08 19:00:00,,0,0,
2015-01-08 20:00:00,,0,0,
2015-01-08 21:00:00,,0,0,
2015-01-08 22:00:00,,0,0,
2015-01-08 23:00:00,,0,0,
2015-01-09 00:00:00,,0,0,
2015-01-09 01:00:00,,0,0,
2015-01-09 02:00:00,,0,0,
2015-01-09 03:00:00,,0,0,
2015-01-09 04:00:00,,0,0,
2015-01-09 05:00:00,,0,0,
2015-01-09 06:00:00,,0,0,
2015-01-09 07:00:00,,0,0,
2015-01-09 08:00:00,,0,0,
2015-01-09 09:00:00,,1,0,
2015-01-09 10:00:00,,29,37,
2015-01-09 11:00:00,,70,102,
2015-01-09 12:00:00,,121,189,
2015-01-09 13:00:00,,142,208,
2015-01-09 14:00:00,,166,254,
2015-01-09 15:00:00,,281,455,
2015-01-09 16:00:00,,204,332,
2015-01-09 17:00:00,,79,81,
2015-01-09 18:00:00,,3,1,
2015-01-09 19:00:00,,0,0,
2015-01-09 20:00:00,,0,0,
2015-01-09 21:00:00,,0,0,
2015-01-09 22:00:00,,0,0,
2015-01-09 23:00:00,,0,0,
2015-01-10 00:00:00,,0,0,
2015-01-10 01:00:00,,0,0,
2015-01-10 02:00:00,,0,0,
2015-01-10 03:00:00,,0,0,
2015-01-10 04:00:00,,0,0,
2015-01-10 05:00:00,,0,0,
2015-01-10 06:00:00,,0,0,
2015-01-10 07:00:00,,0,0,
2015-01-10 08:00:00,,0,0,
2015-01-10 09:00:00,,16,30,
2015-01-10 10:00:00,,112,226,
2015-01-10 11:00:00,,305,497,
2015-01-10 12:00:00,,397,627,
2015-01-10 13:00:00,,467,719,
2015-01-10 14:00:00,,464,723,
2015-01-10 15:00:00,,407,651,
2015-01-10 16:00:00,,238,430,
2015-01-10 17:00:00,,61,63,
2015-01-10 18:00:00,,2,0,
2015-01-10 19:00:00,,0,0,
2015-01-10 20:00:00,,0,0,
2015-01-10 21:00:00,,0,0,
2015-01-10 22:00:00,,0,0,
2015-01-10 23:00:00,,0,0,
2015-01-11 00:00:00,,0,0,
2015-01-11 01:00:00,,0,0,
2015-01-11 02:00:00,,0,0,
2015-01-11 03:00:00,,0,0,
2015-01-11 04:00:00,,0,0,
2015-01-11 05:00:00,,0,0,
2015-01-11 06:00:00,,0,0,
2015-01-11 07:00:00,,0,0,
2015-01-11 08:00:00,,0,0,
2015-01-11 09:00:00,,30,57,
2015-01-11 10:00:00,,136,264,
2015-01-11 11:00:00,,239,478,
2015-01-11 12:00:00,,400,658,
2015-01-11 13:00:00,,487,725,
2015-01-11 14:00:00,,508,741,
2015-01-11 15:00:00,,444,666,
2015-01-11 16:00:00,,265,442,
2015-01-11 17:00:00,,111,82,
2015-01-11 18:00:00,,5,2,
2015-01-11 19:00:00,,0,0,
2015-01-11 20:00:00,,0,0,
2015-01-11 21:00:00,,0,0,
2015-01-11 22:00:00,,0,0,
2015-01-11 23:00:00,,0,0,
2015-01-12 00:00:00,,0,0,
2015-01-12 01:00:00,,0,0,
2015-01-12 02:00:00,,0,0,
2015-01-12 03:00:00,,0,0,
2015-01-12 04:00:00,,0,0,
2015-01-12 05:00:00,,0,0,
2015-01-12 06:00:00,,0,0,
2015-01-12 07:00:00,,0,0,
2015-01-12 08:00:00,,0,0,
2015-01-12 09:00:00,,30,86,
2015-01-12 10:00:00,,146,330,
2015-01-12 11:00:00,,298,538,
2015-01-12 12:00:00,,404,648,
2015-01-12 13:00:00,,450,702,
2015-01-12 14:00:00,,454,702,
2015-01-12 15:00:00,,404,651,
2015-01-12 16:00:00,,251,470,
2015-01-12 17:00:00,,100,103,
2015-01-12 18:00:00,,5,5,
2015-01-12 19:00:00,,0,0,
2015-01-12 20:00:00,,0,0,
2015-01-12 21:00:00,,0,0,
2015-01-12 22:00:00,,0,0,
2015-01-12 23:00:00,,0,0,
2015-01-13 00:00:00,,0,0,
2015-01-13 01:00:00,,0,0,
2015-01-13 02:00:00,,0,0,
2015-01-13 03:00:00,,0,0,
2015-01-13 04:00:00,,0,0,
2015-01-13 05:00:00,,0,0,
2015-01-13 06:00:00,,0,0,
2015-01-13 07:00:00,,0,0,
2015-01-13 08:00:00,,0,0,
2015-01-13 09:00:00,,35,67,
2015-01-13 10:00:00,,144,275,
2015-01-13 11:00:00,,202,322,
2015-01-13 12:00:00,,238,377,
2015-01-13 13:00:00,,364,588,
2015-01-13 14:00:00,,254,388,
2015-01-13 15:00:00,,187,288,
2015-01-13 16:00:00,,173,303,
2015-01-13 17:00:00,,48,71,
2015-01-13 18:00:00,,2,0,
2015-01-13 19:00:00,,0,0,
2015-01-13 20:00:00,,0,0,
2015-01-13 21:00:00,,0,0,
2015-01-13 22:00:00,,0,0,
2015-01-13 23:00:00,,0,0,
2015-01-14 00:00:00,,0,0,
2015-01-14 01:00:00,,0,0,
2015-01-14 02:00:00,,0,0,
2015-01-14 03:00:00,,0,0,
2015-01-14 04:00:00,,0,0,
2015-01-14 05:00:00,,0,0,
2015-01-14 06:00:00,,0,0,
2015-01-14 07:00:00,,0,0,
2015-01-14 08:00:00,,0,0,
2015-01-14 09:00:00,,3,0,
2015-01-14 10:00:00,,25,29,
2015-01-14 11:00:00,,41,59,
2015-01-14 12:00:00,,77,111,
2015-01-14 13:00:00,,131,192,
2015-01-14 14:00:00,,65,86,
2015-01-14 15:00:00,,31,45,
2015-01-14 16:00:00,,20,17,
2015-01-14 17:00:00,,6,0,
2015-01-14 18:00:00,,0,0,
2015-01-14 19:00:00,,0,0,
2015-01-14 20:00:00,,0,0,
2015-01-14 21:00:00,,0,0,
2015-01-14 22:00:00,,0,0,
2015-01-14 23:00:00,,0,0,
2015-01-15 00:00:00,,0,0,
2015-01-15 01:00:00,,0,0,
2015-01-15 02:00:00,,0,0,
2015-01-15 03:00:00,,0,0,
2015-01-15 04:00:00,,0,0,
2015-01-15 05:00:00,,0,0,
2015-01-15 06:00:00,,0,0,
2015-01-15 07:00:00,,0,0,
2015-01-15 08:00:00,,0,0,
2015-01-15 09:00:00,,18,18,
2015-01-15 10:00:00,,73,120,
2015-01-15 11:00:00,,180,269,
2015-01-15 12:00:00,,285,467,
2015-01-15 13:00:00,,404,641,
2015-01-15 14:00:00,,403,645,
2015-01-15 15:00:00,,360,572,
2015-01-15 16:00:00,,217,395,
2015-01-15 17:00:00,,88,83,
2015-01-15 18:00:00,,5,3,
2015-01-15 19:00:00,,0,0,
2015-01-15 20:00:00,,0,0,
2015-01-15 21:00:00,,0,0,
2015-01-15 22:00:00,,0,0,
2015-01-15 23:00:00,,0,0,
2015-01-16 00:00:00,,0,0,
2015-01-16 01:00:00,,0,0,
2015-01-16 02:00:00,,0,0,
2015-01-16 03:00:00,,0,0,
2015-01-16 04:00:00,,0,0,
2015-01-16 05:00:00,,0,0,
2015-01-16 06:00:00,,0,0,
2015-01-16 07:00:00,,0,0,
2015-01-16 08:00:00,,0,0,
2015-01-16 09:00:00,,0,0,
2015-01-16 10:00:00,,1,0,
2015-01-16 11:00:00,,34,42,
2015-01-16 12:00:00,,217,329,
2015-01-16 13:00:00,,156,221,
2015-01-16 14:00:00,,15,13,
2015-01-16 15:00:00,,38,74,
2015-01-16 16:00:00,,57,93,
2015-01-16 17:00:00,,9,13,
2015-01-16 18:00:00,,0,0,
2015-01-16 19:00:00,,0,0,
2015-01-16 20:00:00,,0,0,
2015-01-16 21:00:00,,0,0,
2015-01-16 22:00:00,,0,0,
2015-01-16 23:00:00,,0,0,
2015-01-17 00:00:00,,0,0,
2015-01-17 01:00:00,,0,0,
2015-01-17 02:00:00,,0,0,
2015-01-17 03:00:00,,0,0,
2015-01-17 04:00:00,,0,0,
2015-01-17 05:00:00,,0,0,
2015-01-17 06:00:00,,0,0,
2015-01-17 07:00:00,,0,0,
2015-01-17 08:00:00,,0,0,
2015-01-17 09:00:00,,37,95,
2015-01-17 10:00:00,,165,334,
2015-01-17 11:00:00,,285,549,
2015-01-17 12:00:00,,430,699,
2015-01-17 13:00:00,,480,774,
2015-01-17 14:00:00,,509,760,
2015-01-17 15:00:00,,471,707,
2015-01-17 16:00:00,,324,563,
2015-01-17 17:00:00,,146,109,
2015-01-17 18:00:00,,12,9,
2015-01-17 19:00:00,,0,0,
2015-01-17 20:00:00,,0,0,
2015-01-17 21:00:00,,0,0,
2015-01-17 22:00:00,,0,0,
2015-01-17 23:00:00,,0,0,
2015-01-18 00:00:00,,0,0,
2015-01-18 01:00:00,,0,0,
2015-01-18 02:00:00,,0,0,
2015-01-18 03:00:00,,0,0,
2015-01-18 04:00:00,,0,0,
2015-01-18 05:00:00,,0,0,
2015-01-18 06:00:00,,0,0,
2015-01-18 07:00:00,,0,0,
2015-01-18 08:00:00,,0,0,
2015-01-18 09:00:00,,30,47,
2015-01-18 10:00:00,,121,208,
2015-01-18 11:00:00,,157,267,
2015-01-18 12:00:00,,233,367,
2015-01-18 13:00:00,,107,161,
2015-01-18 14:00:00,,255,406,
2015-01-18 15:00:00,,103,150,
2015-01-18 16:00:00,,66,106,
2015-01-18 17:00:00,,16,10,
2015-01-18 18:00:00,,0,0,
2015-01-18 19:00:00,,0,0,
2015-01-18 20:00:00,,0,0,
2015-01-18 21:00:00,,0,0,
2015-01-18 22:00:00,,0,0,
2015-01-18 23:00:00,,0,0,
2015-01-19 00:00:00,,0,0,
2015-01-19 01:00:00,,0,0,
2015-01-19 02:00:00,,0,0,
2015-01-19 03:00:00,,0,0,
2015-01-19 04:00:00,,0,0,
2015-01-19 05:00:00,,0,0,
2015-01-19 06:00:00,,0,0,
2015-01-19 07:00:00,,0,0,
2015-01-19 08:00:00,,0,0,
2015-01-19 09:00:00,,15,17,
2015-01-19 10:00:00,,106,180,
2015-01-19 11:00:00,,213,381,
2015-01-19 12:00:00,,364,575,
2015-01-19 13:00:00,,343,571,
2015-01-19 14:00:00,,157,319,
2015-01-19 15:00:00,,313,525,
2015-01-19 16:00:00,,185,333,
2015-01-19 17:00:00,,95,111,
2015-01-19 18:00:00,,2,1,
2015-01-19 19:00:00,,0,0,
2015-01-19 20:00:00,,0,0,
2015-01-19 21:00:00,,0,0,
2015-01-19 22:00:00,,0,0,
2015-01-19 23:00:00,,0,0,
2015-01-20 00:00:00,,0,0,
2015-01-20 01:00:00,,0,0,
2015-01-20 02:00:00,,0,0,
2015-01-20 03:00:00,,0,0,
2015-01-20 04:00:00,,0,0,
2015-01-20 05:00:00,,0,0,
2015-01-20 06:00:00,,0,0,
2015-01-20 07:00:00,,0,0,
2015-01-20 08:00:00,,0,0,
2015-01-20 09:00:00,,46,101,
2015-01-20 10:00:00,,150,340,
2015-01-20 11:00:00,,292,533,
2015-01-20 12:00:00,,425,702,
2015-01-20 13:00:00,,404,645,
2015-01-20 14:00:00,,423,664,
2015-01-20 15:00:00,,405,638,
2015-01-20 16:00:00,,224,396,
2015-01-20 17:00:00,,103,123,
2015-01-20 18:00:00,,2,0,
2015-01-20 19:00:00,,0,0,
2015-01-20 20:00:00,,0,0,
2015-01-20 21:00:00,,0,0,
2015-01-20 22:00:00,,0,0,
2015-01-20 23:00:00,,0,0,
2015-01-21 00:00:00,,0,0,
2015-01-21 01:00:00,,0,0,
2015-01-21 02:00:00,,0,0,
2015-01-21 03:00:00,,0,0,
2015-01-21 04:00:00,,0,0,
2015-01-21 05:00:00,,0,0,
2015-01-21 06:00:00,,0,0,
2015-01-21 07:00:00,,0,0,
2015-01-21 08:00:00,,0,0,
2015-01-21 09:00:00,,16,21,
2015-01-21 10:00:00,,75,112,
2015-01-21 11:00:00,,104,151,
2015-01-21 12:00:00,,153,227,
2015-01-21 13:00:00,,179,258,
2015-01-21 14:00:00,,76,102,
2015-01-21 15:00:00,,71,101,
2015-01-21 16:00:00,,32,39,
2015-01-21 17:00:00,,2,0,
2015-01-21 18:00:00,,0,0,
2015-01-21 19:00:00,,0,0,
2015-01-21 20:00:00,,0,0,
2015-01-21 21:00:00,,0,0,
2015-01-21 22:00:00,,0,0,
2015-01-21 23:00:00,,0,0,
2015-01-22 00:00:00,,0,0,
2015-01-22 01:00:00,,0,0,
2015-01-22 02:00:00,,0,0,
2015-01-22 03:00:00,,0,0,
2015-01-22 04:00:00,,0,0,
2015-01-22 05:00:00,,0,0,
2015-01-22 06:00:00,,0,0,
2015-01-22 07:00:00,,0,0,
2015-01-22 08:00:00,,0,0,
2015-01-22 09:00:00,,19,20,
2015-01-22 10:00:00,,132,223,
2015-01-22 11:00:00,,259,414,
2015-01-22 12:00:00,,363,465,
2015-01-22 13:00:00,,401,564,
2015-01-22 14:00:00,,374,663,
2015-01-22 15:00:00,,373,616,
2015-01-22 16:00:00,,275,469,
2015-01-22 17:00:00,,124,144,
2015-01-22 18:00:00,,13,13,
2015-01-22 19:00:00,,0,0,
2015-01-22 20:00:00,,0,0,
2015-01-22 21:00:00,,0,0,
2015-01-22 22:00:00,,0,0,
2015-01-22 23:00:00,,0,0,
2015-01-23 00:00:00,,0,0,
2015-01-23 01:00:00,,0,0,
2015-01-23 02:00:00,,0,0,
2015-01-23 03:00:00,,0,0,
2015-01-23 04:00:00,,0,0,
2015-01-23 05:00:00,,0,0,
2015-01-23 06:00:00,,0,0,
2015-01-23 07:00:00,,0,0,
2015-01-23 08:00:00,,0,0,
2015-01-23 09:00:00,,34,46,
2015-01-23 10:00:00,,117,158,
2015-01-23 11:00:00,,238,374,
2015-01-23 12:00:00,,391,447,
2015-01-23 13:00:00,,259,339,
2015-01-23 14:00:00,,468,699,
2015-01-23 15:00:00,,450,695,
2015-01-23 16:00:00,,317,538,
2015-01-23 17:00:00,,123,143,
2015-01-23 18:00:00,,14,7,
2015-01-23 19:00:00,,0,0,
2015-01-23 20:00:00,,0,0,
2015-01-23 21:00:00,,0,0,
2015-01-23 22:00:00,,0,0,
2015-01-23 23:00:00,,0,0,
2015-01-24 00:00:00,,0,0,
2015-01-24 01:00:00,,0,0,
2015-01-24 02:00:00,,0,0,
2015-01-24 03:00:00,,0,0,
2015-01-24 04:00:00,,0,0,
2015-01-24 05:00:00,,0,0,
2015-01-24 06:00:00,,0,0,
2015-01-24 07:00:00,,0,0,
2015-01-24 08:00:00,,0,0,
2015-01-24 09:00:00,,9,4,
2015-01-24 10:00:00,,64,100,
2015-01-24 11:00:00,,128,198,
2015-01-24 12:00:00,,293,466,
2015-01-24 13:00:00,,176,248,
2015-01-24 14:00:00,,216,326,
2015-01-24 15:00:00,,367,559,
2015-01-24 16:00:00,,191,332,
2015-01-24 17:00:00,,91,125,
2015-01-24 18:00:00,,9,11,
2015-01-24 19:00:00,,0,0,
2015-01-24 20:00:00,,0,0,
2015-01-24 21:00:00,,0,0,
2015-01-24 22:00:00,,0,0,
2015-01-24 23:00:00,,0,0,
2015-01-25 00:00:00,,0,0,
2015-01-25 01:00:00,,0,0,
2015-01-25 02:00:00,,0,0,
2015-01-25 03:00:00,,0,0,
2015-01-25 04:00:00,,0,0,
2015-01-25 05:00:00,,0,0,
2015-01-25 06:00:00,,0,0,
2015-01-25 07:00:00,,0,0,
2015-01-25 08:00:00,,0,0,
2015-01-25 09:00:00,,0,0,
2015-01-25 10:00:00,,21,17,
2015-01-25 11:00:00,,52,77,
2015-01-25 12:00:00,,46,62,
2015-01-25 13:00:00,,29,40,
2015-01-25 14:00:00,,14,2,
2015-01-25 15:00:00,,16,8,
2015-01-25 16:00:00,,13,2,
2015-01-25 17:00:00,,4,0,
2015-01-25 18:00:00,,0,0,
2015-01-25 19:00:00,,0,0,
2015-01-25 20:00:00,,0,0,
2015-01-25 21:00:00,,0,0,
2015-01-25 22:00:00,,0,0,
2015-01-25 23:00:00,,0,0,
2015-01-26 00:00:00,,0,0,
2015-01-26 01:00:00,,0,0,
2015-01-26 02:00:00,,0,0,
2015-01-26 03:00:00,,0,0,
2015-01-26 04:00:00,,0,0,
2015-01-26 05:00:00,,0,0,
2015-01-26 06:00:00,,0,0,
2015-01-26 07:00:00,,0,0,
2015-01-26 08:00:00,,0,0,
2015-01-26 09:00:00,,1,0,
2015-01-26 10:00:00,,20,5,
2015-01-26 11:00:00,,51,25,
2015-01-26 12:00:00,,99,89,
2015-01-26 13:00:00,,64,89,
2015-01-26 14:00:00,,61,83,
2015-01-26 15:00:00,,181,513,
2015-01-26 16:00:00,,253,459,
2015-01-26 17:00:00,,105,172,
2015-01-26 18:00:00,,9,15,
2015-01-26 19:00:00,,0,0,
2015-01-26 20:00:00,,0,0,
2015-01-26 21:00:00,,0,0,
2015-01-26 22:00:00,,0,0,
2015-01-26 23:00:00,,0,0,
2015-01-27 00:00:00,,0,0,
2015-01-27 01:00:00,,0,0,
2015-01-27 02:00:00,,0,0,
2015-01-27 03:00:00,,0,0,
2015-01-27 04:00:00,,0,0,
2015-01-27 05:00:00,,0,0,
2015-01-27 06:00:00,,0,0,
2015-01-27 07:00:00,,0,0,
2015-01-27 08:00:00,,0,0,
2015-01-27 09:00:00,,48,95,
2015-01-27 10:00:00,,179,228,
2015-01-27 11:00:00,,348,425,
2015-01-27 12:00:00,,335,672,
2015-01-27 13:00:00,,367,822,
2015-01-27 14:00:00,,448,839,
2015-01-27 15:00:00,,454,785,
2015-01-27 16:00:00,,395,654,
2015-01-27 17:00:00,,195,250,
2015-01-27 18:00:00,,35,33,
2015-01-27 19:00:00,,0,0,
2015-01-27 20:00:00,,0,0,
2015-01-27 21:00:00,,0,0,
2015-01-27 22:00:00,,0,0,
2015-01-27 23:00:00,,0,0,
2015-01-28 00:00:00,,0,0,
2015-01-28 01:00:00,,0,0,
2015-01-28 02:00:00,,0,0,
2015-01-28 03:00:00,,0,0,
2015-01-28 04:00:00,,0,0,
2015-01-28 05:00:00,,0,0,
2015-01-28 06:00:00,,0,0,
2015-01-28 07:00:00,,0,0,
2015-01-28 08:00:00,,0,0,
2015-01-28 09:00:00,,26,26,
2015-01-28 10:00:00,,117,181,
2015-01-28 11:00:00,,306,500,
2015-01-28 12:00:00,,379,612,
2015-01-28 13:00:00,,497,793,
2015-01-28 14:00:00,,487,768,
2015-01-28 15:00:00,,430,682,
2015-01-28 16:00:00,,307,485,
2015-01-28 17:00:00,,104,147,
2015-01-28 18:00:00,,22,32,
2015-01-28 19:00:00,,0,0,
2015-01-28 20:00:00,,0,0,
2015-01-28 21:00:00,,0,0,
2015-01-28 22:00:00,,0,0,
2015-01-28 23:00:00,,0,0,
2015-01-29 00:00:00,,0,0,
2015-01-29 01:00:00,,0,0,
2015-01-29 02:00:00,,0,0,
2015-01-29 03:00:00,,0,0,
2015-01-29 04:00:00,,0,0,
2015-01-29 05:00:00,,0,0,
2015-01-29 06:00:00,,0,0,
2015-01-29 07:00:00,,0,0,
2015-01-29 08:00:00,,0,0,
2015-01-29 09:00:00,,5,0,
2015-01-29 10:00:00,,42,51,
2015-01-29 11:00:00,,138,170,
2015-01-29 12:00:00,,108,146,
2015-01-29 13:00:00,,117,171,
2015-01-29 14:00:00,,165,246,
2015-01-29 15:00:00,,108,153,
2015-01-29 16:00:00,,47,65,
2015-01-29 17:00:00,,28,30,
2015-01-29 18:00:00,,2,0,
2015-01-29 19:00:00,,0,0,
2015-01-29 20:00:00,,0,0,
2015-01-29 21:00:00,,0,0,
2015-01-29 22:00:00,,0,0,
2015-01-29 23:00:00,,0,0,
2015-01-30 00:00:00,,0,0,
2015-01-30 01:00:00,,0,0,
2015-01-30 02:00:00,,0,0,
2015-01-30 03:00:00,,0,0,
2015-01-30 04:00:00,,0,0,
2015-01-30 05:00:00,,0,0,
2015-01-30 06:00:00,,0,0,
2015-01-30 07:00:00,,0,0,
2015-01-30 08:00:00,,0,0,
2015-01-30 09:00:00,,5,0,
2015-01-30 10:00:00,,58,65,
2015-01-30 11:00:00,,189,285,
2015-01-30 12:00:00,,279,452,
2015-01-30 13:00:00,,343,750,
2015-01-30 14:00:00,,489,787,
2015-01-30 15:00:00,,488,744,
2015-01-30 16:00:00,,374,580,
2015-01-30 17:00:00,,134,203,
2015-01-30 18:00:00,,32,27,
2015-01-30 19:00:00,,0,0,
2015-01-30 20:00:00,,0,0,
2015-01-30 21:00:00,,0,0,
2015-01-30 22:00:00,,0,0,
2015-01-30 23:00:00,,0,0,
2015-01-31 00:00:00,,0,0,
2015-01-31 01:00:00,,0,0,
2015-01-31 02:00:00,,0,0,
2015-01-31 03:00:00,,0,0,
2015-01-31 04:00:00,,0,0,
2015-01-31 05:00:00,,0,0,
2015-01-31 06:00:00,,0,0,
2015-01-31 07:00:00,,0,0,
2015-01-31 08:00:00,,1,0,
2015-01-31 09:00:00,,49,124,
2015-01-31 10:00:00,,181,383,
2015-01-31 11:00:00,,358,461,
2015-01-31 12:00:00,,464,544,
